[2023-10-10T22:00:35.038549+00:00] console.INFO: Server running on [http://localhost:3000] [] []
[2023-10-10T22:00:35.404004+00:00] console.INFO: [200] GET/ ..................... ~0.2512s [] []
[2023-10-10T22:00:36.417443+00:00] console.INFO: [404] GET/favicon.ico ..................... ~0.0001s [] []
[2023-10-10T22:01:50.663293+00:00] console.INFO: [200] GET/ ..................... ~0.0719s [] []
[2023-10-10T22:01:51.672861+00:00] console.INFO: [200] GET/ ..................... ~0.0581s [] []
[2023-10-10T22:02:32.643545+00:00] console.INFO: [200] GET/ ..................... ~0.0579s [] []
[2023-10-10T22:02:52.515496+00:00] console.INFO: [200] GET/ ..................... ~0.0061s [] []
[2023-10-10T22:02:55.291679+00:00] console.INFO: [200] GET/ ..................... ~0.0034s [] []
[2023-10-10T22:02:55.302978+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-10T22:02:55.854519+00:00] console.INFO: [200] GET/ ..................... ~0.0003s [] []
[2023-10-10T22:03:08.517904+00:00] console.INFO: [200] GET/admin ..................... ~0.0047s [] []
[2023-10-10T22:03:08.532105+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0001s [] []
[2023-10-10T22:03:08.604248+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0025s [] []
[2023-10-10T22:03:15.957807+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0033s [] []
[2023-10-10T22:03:15.979405+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0015s [] []
[2023-10-10T22:03:16.023887+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0021s [] []
[2023-10-10T22:03:22.259649+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0034s [] []
[2023-10-10T22:03:22.339556+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0025s [] []
