[2023-10-11T14:59:24.426393+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T14:59:24.434181+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0014s [] []
[2023-10-11T14:59:24.860038+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0011s [] []
[2023-10-11T15:00:13.148635+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0027s [] []
[2023-10-11T15:00:13.168948+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0009s [] []
[2023-10-11T15:00:13.214268+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0022s [] []
[2023-10-11T15:00:15.642767+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0086s [] []
[2023-10-11T15:00:15.647982+00:00] console.INFO: [200] GET/admin ..................... ~0.0030s [] []
[2023-10-11T15:00:15.662861+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:00:15.702283+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0021s [] []
[2023-10-11T15:00:21.813377+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:00:21.850328+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0017s [] []
[2023-10-11T15:00:22.584835+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0022s [] []
[2023-10-11T15:00:24.072456+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0028s [] []
[2023-10-11T15:00:24.077786+00:00] console.INFO: [200] GET/admin ..................... ~0.0021s [] []
[2023-10-11T15:00:24.091636+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T15:00:24.138837+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0017s [] []
[2023-10-11T15:00:34.287895+00:00] console.INFO: [200] GET/admin ..................... ~0.0035s [] []
[2023-10-11T15:00:34.300115+00:00] console.INFO: [200] GET/admin ..................... ~0.0002s [] []
[2023-10-11T15:00:34.349383+00:00] console.INFO: [200] GET/admin ..................... ~0.0037s [] []
[2023-10-11T15:00:36.275745+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0024s [] []
[2023-10-11T15:00:36.281235+00:00] console.INFO: [200] GET/admin ..................... ~0.0023s [] []
[2023-10-11T15:00:36.295533+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T15:00:36.335901+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0016s [] []
[2023-10-11T15:00:50.366423+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0003s [] []
[2023-10-11T15:00:50.405420+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0020s [] []
[2023-10-11T15:00:51.243365+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0025s [] []
[2023-10-11T15:00:52.529196+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0020s [] []
[2023-10-11T15:00:52.533974+00:00] console.INFO: [200] GET/admin ..................... ~0.0021s [] []
[2023-10-11T15:00:52.548125+00:00] console.INFO: [200] GET/admin ..................... ~0.0004s [] []
[2023-10-11T15:00:52.583295+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0011s [] []
[2023-10-11T15:01:46.501401+00:00] console.INFO: [200] GET/admin ..................... ~0.0038s [] []
[2023-10-11T15:01:46.521164+00:00] console.INFO: [200] GET/admin ..................... ~0.0001s [] []
[2023-10-11T15:01:46.572366+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~8.7976s [] []
[2023-10-11T15:01:48.649393+00:00] console.INFO: [200] GET/admin ..................... ~0.0018s [] []
[2023-10-11T15:01:48.663470+00:00] console.INFO: [200] GET/admin ..................... ~0.0002s [] []
[2023-10-11T15:01:48.699988+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0009s [] []
[2023-10-11T15:02:50.432950+00:00] console.INFO: [200] GET/admin ..................... ~0.0036s [] []
