[2023-09-27T08:08:46.730274+00:00] console.INFO: Server running on [http://localhost:3000] [] []
[2023-09-27T08:08:46.996829+00:00] console.INFO: [200] GET/ ..................... ~0.1550s [] []
[2023-09-27T08:08:51.869280+00:00] console.INFO: [302] POST/ ..................... ~0.1800s [] []
[2023-09-27T08:08:51.871190+00:00] console.INFO: [200] GET/ ..................... ~0.0011s [] []
[2023-09-27T08:08:58.893324+00:00] console.INFO: [302] POST/ ..................... ~0.0519s [] []
[2023-09-27T08:09:04.424422+00:00] console.INFO: [302] POST/ ..................... ~0.0470s [] []
[2023-09-27T08:09:04.435333+00:00] console.INFO: [200] GET/ ..................... ~0.0020s [] []
[2023-09-27T08:09:14.950950+00:00] console.INFO: [302] POST/ ..................... ~0.0543s [] []
[2023-09-27T08:09:14.953525+00:00] console.INFO: [200] GET/ ..................... ~0.0014s [] []
[2023-09-27T08:10:23.552542+00:00] console.INFO: [200] GET/ ..................... ~0.0096s [] []
[2023-09-27T08:10:23.589716+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~5.8174s [] []
[2023-09-27T08:10:25.242794+00:00] console.INFO: [200] GET/ ..................... ~0.0019s [] []
[2023-09-27T08:10:25.257723+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~0.0002s [] []
[2023-09-27T08:10:29.724499+00:00] console.INFO: [200] GET/ ..................... ~0.0170s [] []
[2023-09-27T08:10:29.765838+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~0.0002s [] []
[2023-09-27T08:10:30.596978+00:00] console.INFO: [200] GET/ ..................... ~0.0018s [] []
[2023-09-27T08:10:30.624813+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~8.4161s [] []
[2023-09-27T08:11:31.190200+00:00] console.INFO: [200] GET/ ..................... ~0.0035s [] []
[2023-09-27T08:11:49.297984+00:00] console.INFO: [200] GET/ ..................... ~0.0448s [] []
[2023-09-27T08:11:50.236378+00:00] console.INFO: [200] GET/ ..................... ~0.0019s [] []
[2023-09-27T08:12:02.125851+00:00] console.INFO: [200] GET/ ..................... ~0.0033s [] []
[2023-09-27T08:12:02.139648+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~0.0003s [] []
[2023-09-27T08:12:03.057387+00:00] console.INFO: [200] GET/ ..................... ~0.0018s [] []
[2023-09-27T08:13:44.475199+00:00] console.INFO: [200] GET/ ..................... ~0.0063s [] []
[2023-09-27T08:14:39.300582+00:00] console.INFO: [200] GET/ ..................... ~0.0039s [] []
[2023-09-27T08:14:41.049784+00:00] console.INFO: [200] GET/ ..................... ~0.0017s [] []
[2023-09-27T08:14:41.075501+00:00] console.INFO: [200] GET/public/assets/css/app.css ..................... ~0.0002s [] []
[2023-09-27T08:14:41.614908+00:00] console.INFO: [200] GET/ ..................... ~0.0019s [] []
[2023-09-27T08:14:41.656358+00:00] console.INFO: [200] GET/public/assets/js/app.js ..................... ~0.0001s [] []
[2023-09-27T08:14:42.066156+00:00] console.INFO: [200] GET/ ..................... ~0.0028s [] []
[2023-09-27T08:14:43.741343+00:00] console.INFO: [200] GET/ ..................... ~0.0019s [] []
[2023-09-27T08:14:44.133405+00:00] console.INFO: [200] GET/ ..................... ~0.0018s [] []
[2023-09-27T08:16:15.362826+00:00] console.INFO: [200] GET/ ..................... ~0.0048s [] []
